genus_name,min,Q1,median,mean,Q2,max,range
ABIES,1,3,12,12.946052631578947,19.5,42.5,29.553947368421053
ACER,0,3,8,10.60665991902834,15,317,306.39334008097165
AESCULUS,0,19,25,23.736887159533072,30,64,40.26311284046693
AILANTHUS,3,15,19.5,15.875,20.375,21.5,5.625
ALBIZIA,6,6,6,6,6,6,0
ALNUS,0,12,17.5,17.53108108108108,23.375,40,22.46891891891892
AMELANCHIER,0,3,3,3.2079646017699117,3,20,16.792035398230087
ARALIA,3,4.3125,6.125,6.8125,8.625,12,5.1875
ARAUCARIA,3,4.125,8.5,11.4,12.875,32,20.6
ARBUTUS,6,7.75,17.5,18.4,28.5,33,14.600000000000001
BETULA,2,13,17.5,17.851265976871577,23,48,30.148734023128423
CALOCEDRUS,2.25,3,6,11.362068965517242,12,66,54.63793103448276
CARPINUS,0,3,6.5,9.334240440923184,12.5,86,76.66575955907682
CASTANEA,3,12.625,20.5,22.87878787878788,28,99,76.12121212121212
CATALPA,2,18,26,23.517495559502663,30.875,50.25,26.732504440497337
CEDRUS,1,6,20,19.225898203592813,29,71,51.77410179640719
CELTIS,1.75,3,3,3.5987012987012985,3.375,16.25,12.651298701298701
CERCIDIPHYLLUM,0,3,5,6.895004849660523,9,131,124.10499515033948
CERCIS,1,3,3,3.442351598173516,3,10,6.557648401826484
CHAMAECYPARIS,1,10.75,17.5,17.857152875175316,24,99,81.14284712482468
CHITALPA,3,3,3,4.1,4,7.5,3.4000000000000004
CLADRASTIS,3,5.875,8,8.535714285714286,10.75,17,8.464285714285714
CLERODENDRON,5,5,5,5,5,5,0
CORNUS,0,3,4,8.022699784017279,10.125,99,90.97730021598272
CORYLUS,1,4.125,8,9.587401574803149,12.75,36,26.41259842519685
CRATAEGUS,0,3,4.875,6.190709109730848,8,34,27.809290890269153
CRYPTOMERIA,2,6,9,8.985294117647058,10.25,22,13.014705882352942
CUPRESSOCYPARIS   X,25.5,31.375,37.25,37.25,43.125,49,11.75
DAVIDIA,2,3,4,4.831920903954802,6,20,15.168079096045197
EUCALYPTUS,1,1.25,1.5,1.5,1.75,2,0.5
EUCOMMIA,3,5,6.5,6.529411764705882,8,10,3.4705882352941178
EUONYMUS,3,3,3,3.769230769230769,3,12,8.23076923076923
FAGUS,0,3,5,8.2665037437604,11,54.5,46.233496256239604
FICUS,3,4,4.5,7.175,11.5,14.75,7.575
FRAXINUS,0,4,8,9.508162850562254,13,97.5,87.99183714943774
GINKGO,0,3,3,4.858471074380165,5,29,24.141528925619834
GLEDITSIA,1,3,6,7.574061919504644,9.5,38,30.425938080495357
GYMNOCLADUS,2.75,3,3,3.0878378378378377,3,6,2.9121621621621623
HALESIA,6,6,6,6,6,6,0
HIBISCUS,1.5,3,3,3.3819371727748693,3.375,9,5.618062827225131
HIPPOPHAE,3,3,3,3,3,3,0
ILEX,3,6,12,12.129057591623036,16.25,43,30.870942408376962
JUGLANS,1.5,10.75,17,17.546036585365854,23,41,23.453963414634146
JUNIPERUS,5,10.25,12,15.362676056338028,18,60,44.63732394366197
KALOPANAX,5,5,5,5,5,5,0
KOELREUTERIA,2,3,8,7.690789473684211,10,18.5,10.80921052631579
LABURNUM,0.5,8,12.5,12.072857142857142,15.5,26,13.927142857142858
LARIX,3,8.25,13.5,13.583333333333334,20.25,24,10.416666666666666
LAURUS,6,6.8,7,7.72,7.3,11.5,3.7800000000000002
LIQUIDAMBAR,0,5,8,8.961625874125874,12,53,44.03837412587413
LIRIODENDRON,0,5,10,13.644244244244245,20,57,43.35575575575575
MAGNOLIA,0,3,4,6.971467042831495,9.5,44,37.02853295716851
MALUS,0,3.25,5,6.124337407141145,8,45,38.87566259285885
MANGLIETIA,2,2,3,3.25,3,11.5,8.25
MESPILUS,2,3,3.75,3.736842105263158,4.5,7,3.263157894736842
METASEQUOIA,0.5,3,10.5,13.013442211055276,19.5,50,36.98655778894472
MICHELIA,3,3,3,3,3,3,0
MORUS,3,3,3,9.055555555555555,8,33,23.944444444444443
NOTHOFAGUS,3,4,6,6.434615384615385,8,12,5.565384615384615
NYSSA,1.75,3,3,4.078192371475954,4,24,19.921807628524046
OSTRYIA,3.75,5.875,7,6.825,8.75,9.5,2.675
OXYDENDRUM,1.75,2.375,3,3,3.625,4.25,1.25
PARROTIA,0,3,3,4.017047764227642,4,55,50.98295223577236
PAULOWNIA,5,9,11,11.166666666666666,13,17.5,6.333333333333334
PHELLODENDON,12,14,19,18.1,21.5,24,5.899999999999999
PICEA,2,5,10,11.055197505197505,15,38,26.944802494802495
PINUS,1.5,10,14,15.187817938420348,20,54.5,39.31218206157965
PLATANUS,2,11,19,20.834678633468442,31,57,36.16532136653156
POPULUS,2.75,11,19.5,21.496478873239436,30,72,50.50352112676056
PRUNUS,0,6.25,13,13.882979500048886,19,141,127.11702049995111
PSEUDOTSUGA,1,15,22,22.11350613915416,29.5,62,39.88649386084584
PTELEA,12,16.5,21,18.5,21.75,22.5,4
PTEROCARYA,2,11,13.5,13.048387096774194,14.5,44,30.951612903225808
PTEROSTYRAX,4,5,6,6.666666666666667,8,10,3.333333333333333
PYRUS,0.25,3,4,4.583137606454505,6,38,33.41686239354549
QUERCUS,0,6,12,15.215525412649125,22.5,305,289.78447458735087
RHAMNUS,3,5,7.5,8.647058823529411,12,24,15.352941176470589
RHUS,2.5,5,6,7.866071428571429,8,24,16.13392857142857
ROBINIA,3,7.5,13.5,16.784440559440558,24,72,55.215559440559446
SALIX,3,15,21.5,22.73913043478261,30,64,41.26086956521739
SCIADOPITYS,13,15,17,15.666666666666666,17,17,1.333333333333334
SEQUOIA,2.25,4.5,11,20.678571428571427,31.75,59,38.32142857142857
SEQUOIADENDRON,3,3,10,16.57276119402985,24,75,58.42723880597015
SOPHORA,3,3,5,9.294117647058824,19,26,16.705882352941174
SORBUS,0.5,3,5,6.862731619844591,9,99,92.1372683801554
STEWARTIA,2,3,3,3.323232323232323,3,16,12.676767676767676
STYRAX,0,3,3,4.096028325123153,4.25,435,430.90397167487686
SYRINGA,0,3,3,3.152695520121488,3,12,8.847304479878511
TAXODIUM,3,3,4,4.818181818181818,5.75,10,5.181818181818182
TAXUS,3,10,12,12.603260869565217,15,24,11.396739130434783
THUJA,2,10,14,17.54168294515402,24,99,81.45831705484598
TILIA,0,10.5,13.5,13.487772036025396,16,99,85.51222796397461
TRACHYCARPUS,3,3.5,6,5.454545454545454,7,8,2.545454545454546
TSUGA,2,12,18,18.357342657342656,23,42.5,24.142657342657344
ULMUS,1.25,17,25,22.841663753932192,30,144,121.1583362460678
VIBURNUM,3,3,3,3,3,3,0
ZELKOVA,0.5,3,5,6.8772334293948125,9,36,29.122766570605187
